epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80143,2.58942,4.24607,2.04444,0.00254,0.18889,0.00397,0.00044,2.91193,3.93369,2.11876,0,0,0
2,9.41051,2.59842,4.05476,2.17247,0.00248,0.18889,0.0037,0.00079,2.91356,3.93116,2.1164,1.40071e-05,1.40071e-05,1.40071e-05
3,13.9837,2.53779,4.1278,2.05223,0.00249,0.18889,0.00415,0.00085,2.94914,3.90826,2.14676,2.74482e-05,2.74482e-05,2.74482e-05
4,18.4655,2.42953,4.06901,1.91312,0.00329,0.21111,0.00482,0.00143,2.88221,3.84228,2.05789,4.03235e-05,4.03235e-05,4.03235e-05
5,22.7101,2.5206,4.07535,2.01019,0.00336,0.21111,0.0053,0.00193,2.90026,3.84514,2.03719,5.26329e-05,5.26329e-05,5.26329e-05
6,27.053,2.44956,4.03552,1.92683,0.00413,0.23333,0.00786,0.00302,2.82456,3.83781,1.98633,6.43764e-05,6.43764e-05,6.43764e-05
7,31.2517,2.18584,4.05609,1.78609,0.00421,0.23333,0.01243,0.00578,2.71966,3.75849,1.90956,7.55541e-05,7.55541e-05,7.55541e-05
8,35.5026,2.28679,3.92803,1.77867,0.0043,0.23333,0.01774,0.01118,2.68092,3.72552,1.89693,8.61658e-05,8.61658e-05,8.61658e-05
9,39.7702,2.31368,3.83712,1.9762,0.00708,0.42222,0.03566,0.0182,2.57086,3.66895,1.80539,9.62117e-05,9.62117e-05,9.62117e-05
10,43.9959,2.15715,3.66319,1.78145,0.00722,0.42222,0.0369,0.01941,2.52523,3.61406,1.76063,0.000105692,0.000105692,0.000105692
11,48.3082,2.19656,3.74982,1.70093,0.00747,0.42222,0.03459,0.01835,2.47486,3.60582,1.72754,0.000114606,0.000114606,0.000114606
12,52.5435,1.99686,3.57829,1.6601,0.00788,0.36111,0.03923,0.02166,2.51107,3.58629,1.70252,0.000122954,0.000122954,0.000122954
13,56.8057,2.26312,3.83713,1.92109,0.00908,0.44444,0.03828,0.02268,2.47928,3.54532,1.67989,0.000130736,0.000130736,0.000130736
14,61.0822,1.97084,3.3021,1.68168,0.00938,0.44444,0.03903,0.02497,2.47572,3.53124,1.68308,0.000137953,0.000137953,0.000137953
15,65.1595,2.10403,3.61229,1.68618,0.00876,0.36111,0.03585,0.02339,2.47146,3.54142,1.69822,0.000144603,0.000144603,0.000144603
16,69.2092,1.75247,3.17243,1.39922,0.00732,0.19444,0.03365,0.02273,2.54655,3.54345,1.7249,0.000150688,0.000150688,0.000150688
17,73.0376,2.08928,3.11876,1.65015,0.00836,0.27778,0.03409,0.02276,2.5453,3.52525,1.72155,0.000156207,0.000156207,0.000156207
18,77.0747,1.9494,3.09907,1.66202,0.00836,0.27778,0.03409,0.02276,2.5453,3.52525,1.72155,0.00016116,0.00016116,0.00016116
19,81.2952,2.06088,3.04226,1.58832,0.01109,0.46667,0.04233,0.02734,2.5453,3.49348,1.70549,0.000165547,0.000165547,0.000165547
20,85.374,1.93368,2.77734,1.46878,0.01109,0.46667,0.04233,0.02734,2.5453,3.49348,1.70549,0.000169368,0.000169368,0.000169368
21,89.4377,2.012,2.83962,1.58989,0.01126,0.46667,0.06505,0.03783,2.62374,3.48389,1.73428,0.000172623,0.000172623,0.000172623
22,93.341,2.08211,3.06736,1.65921,0.01126,0.46667,0.06505,0.03783,2.62374,3.48389,1.73428,0.000175313,0.000175313,0.000175313
23,97.3084,1.77423,2.74739,1.51581,0.0113,0.46667,0.07161,0.04141,2.65748,3.50068,1.7534,0.000177436,0.000177436,0.000177436
24,101.085,2.00272,3.09051,1.54868,0.0113,0.46667,0.07161,0.04141,2.65748,3.50068,1.7534,0.000178994,0.000178994,0.000178994
25,104.935,2.31968,3.10201,1.69672,0.00935,0.44444,0.06095,0.03852,2.65508,3.50444,1.76602,0.000179985,0.000179985,0.000179985
26,108.741,2.05488,2.81155,1.61668,0.00935,0.44444,0.06095,0.03852,2.65508,3.50444,1.76602,0.000180411,0.000180411,0.000180411
27,112.563,1.85046,2.53138,1.3458,0.00787,0.42222,0.05778,0.03672,2.56562,3.50929,1.72402,0.000180271,0.000180271,0.000180271
28,116.337,1.90876,2.83898,1.59246,0.00787,0.42222,0.05778,0.03672,2.56562,3.50929,1.72402,0.000179565,0.000179565,0.000179565
29,120.191,2.13588,2.6876,1.52897,0.00769,0.42222,0.05784,0.03394,2.49438,3.53251,1.69411,0.000178293,0.000178293,0.000178293
30,123.946,2.0898,3.08022,1.67723,0.00769,0.42222,0.05784,0.03394,2.49438,3.53251,1.69411,0.000176456,0.000176456,0.000176456
31,127.965,1.76642,2.42486,1.49291,0.0094,0.44444,0.06351,0.0356,2.47816,3.53085,1.69911,0.000174052,0.000174052,0.000174052
32,131.778,1.77681,2.45049,1.50911,0.0094,0.44444,0.06351,0.0356,2.47816,3.53085,1.69911,0.000171083,0.000171083,0.000171083
33,135.64,1.70922,2.34195,1.31902,0.00885,0.44444,0.05733,0.03389,2.48297,3.57441,1.71487,0.000167547,0.000167547,0.000167547
34,139.438,1.6176,2.29132,1.39084,0.00885,0.44444,0.05733,0.03389,2.48297,3.57441,1.71487,0.000163446,0.000163446,0.000163446
35,143.3,2.06778,3.04763,1.67868,0.00824,0.36111,0.04925,0.02903,2.49732,3.61198,1.73611,0.000158779,0.000158779,0.000158779
36,147.123,1.76085,2.52869,1.42275,0.00824,0.36111,0.04925,0.02903,2.49732,3.61198,1.73611,0.000153546,0.000153546,0.000153546
37,150.971,2.00832,2.6955,1.53241,0.0076,0.27778,0.04535,0.02186,2.55423,3.62606,1.78875,0.000147747,0.000147747,0.000147747
38,154.794,1.70814,2.59642,1.4959,0.0076,0.27778,0.04535,0.02186,2.55423,3.62606,1.78875,0.000141382,0.000141382,0.000141382
39,158.619,1.99674,2.64738,1.54218,0.00718,0.19444,0.03455,0.01904,2.56178,3.66189,1.81088,0.000134452,0.000134452,0.000134452
40,162.4,1.60992,2.26749,1.35509,0.00718,0.19444,0.03455,0.01904,2.56178,3.66189,1.81088,0.000126955,0.000126955,0.000126955
41,166.221,1.8122,2.7309,1.53202,0.00695,0.19444,0.02928,0.01501,2.51158,3.69519,1.81504,0.000118893,0.000118893,0.000118893
42,169.984,1.84777,2.95805,1.57178,0.00695,0.19444,0.02928,0.01501,2.51158,3.69519,1.81504,0.000110264,0.000110264,0.000110264
43,173.932,1.74323,2.61953,1.52234,0.00667,0.19444,0.02419,0.01169,2.58776,3.70115,1.85148,0.00010107,0.00010107,0.00010107
44,177.707,1.73123,2.66467,1.45272,0.00667,0.19444,0.02419,0.01169,2.58776,3.70115,1.85148,9.13102e-05,9.13102e-05,9.13102e-05
45,181.497,1.68708,2.63769,1.36168,0.00686,0.19444,0.02315,0.01204,2.59563,3.71706,1.83412,8.09843e-05,8.09843e-05,8.09843e-05
46,185.248,1.67279,2.77428,1.50404,0.00686,0.19444,0.02315,0.01204,2.59563,3.71706,1.83412,7.00924e-05,7.00924e-05,7.00924e-05
47,189.062,1.65834,2.5224,1.43652,0.00587,0.17222,0.02143,0.01157,2.64165,3.7006,1.84305,5.86347e-05,5.86347e-05,5.86347e-05
48,192.9,1.75894,2.79638,1.4776,0.00587,0.17222,0.02143,0.01157,2.64165,3.7006,1.84305,4.66111e-05,4.66111e-05,4.66111e-05
49,196.8,1.78574,2.75188,1.50886,0.00745,0.19444,0.02467,0.01201,2.65362,3.68281,1.83766,3.40216e-05,3.40216e-05,3.40216e-05
50,200.669,1.7793,2.81104,1.51695,0.00745,0.19444,0.02467,0.01201,2.65362,3.68281,1.83766,2.08663e-05,2.08663e-05,2.08663e-05
